y p
0 99.999
0.000155477 99.999
0.000310954 99.999
0.000466431 99.999
0.000621908 99.999
0.000777385 99.999
0.000932862 99.999
0.00108834 99.999
0.00124382 99.999
0.00139929 99.999
0.00155477 99.999
0.00171025 99.999
0.00186572 99.999
0.0020212 99.999
0.00217668 99.999
0.00233216 99.999
0.00248763 99.999
0.00264311 99.999
0.00279859 99.999
0.00295406 99.999
0.00310954 99.9991
0.00326502 99.9996
0.00342049 100.002
0.00357597 100.01
0.00373145 100.049
0.00388693 100.221
0.0040424 100.986
0.00419788 104.466
0.00435336 120.851
0.00450883 197.518
0.00466431 435.883
0.00481979 851.294
0.00497526 1265.08
0.00513074 1518.83
0.00528622 1629.81
0.0054417 1670.52
0.00559717 1684.42
0.00575265 1689.05
0.00590813 1690.58
0.0060636 1691.08
0.00621908 1691.24
0.00637456 1691.3
0.00653004 1691.32
0.00668551 1691.32
0.00684099 1691.32
0.00699647 1691.33
0.00715194 1691.33
0.00730742 1691.33
0.0074629 1691.33
0.00761837 1691.33
0.00777385 1691.33
0.00792933 1691.33
0.00808481 1691.33
0.00824028 1691.33
0.00839576 1691.33
0.00855124 1691.33
0.00870671 1691.33
0.00886219 1691.33
0.00901767 1691.33
0.00917314 1691.33
0.00932862 1691.33
0.0094841 1691.33
